Strain1,Strain2,Distance
A/INDONESIA/5/2005,A/WHOOPER_SWAN/MG/244/2005,5.656854249
A/INDONESIA/5/2005,A/TURKEY/65-596/2006,4
A/INDONESIA/5/2005,A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,2.828427125
A/INDONESIA/5/2005,A/CHICKEN/INDIA/NIV-33487/2006,5.656854249
A/INDONESIA/5/2005,A/CHICKEN/KOREA/GIMJE/2008,22.627417
A/INDONESIA/5/2005,A/ANHUI/1/2005,11.3137085
A/INDONESIA/5/2005,A/ANHUI/1/2005xPR8_IBCDC_RG-6,11.3137085
A/INDONESIA/5/2005,A/CHICKEN/MALAYSIA/935/2006,32
A/INDONESIA/5/2005,A/GOOSE/GUIYANG/337/2006,64
A/INDONESIA/5/2005,A/CHICKEN/VIETNAM/NCVD-016/2008,32
A/DUCK/HUNAN/795/2002,A/WHOOPER_SWAN/MG/244/2005,1.414213562
A/DUCK/HUNAN/795/2002,A/TURKEY/65-596/2006,2.828427125
A/DUCK/HUNAN/795/2002,A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,1
A/DUCK/HUNAN/795/2002,A/CHICKEN/INDIA/NIV-33487/2006,1.414213562
A/DUCK/HUNAN/795/2002,A/EGYPT/321-NAMRU3/2007,1
A/DUCK/HUNAN/795/2002,A/CHICKEN/KOREA/GIMJE/2008,8
A/DUCK/HUNAN/795/2002,A/ANHUI/1/2005,32
A/DUCK/HUNAN/795/2002,A/ANHUI/1/2005xPR8_IBCDC_RG-6,11.3137085
A/DUCK/HUNAN/795/2002,A/CHICKEN/MALAYSIA/935/2006,32
A/DUCK/HUNAN/795/2002,A/JAPANESE/WHITE_EYE/HK/1038/2006,22.627417
A/DUCK/HUNAN/795/2002,A/GOOSE/GUIYANG/337/2006,64
A/DUCK/HUNAN/795/2002,A/CHICKEN/VIETNAM/NCVD-016/2008,64
A/WHOOPER_SWAN/MG/244/2005,A/TURKEY/65-596/2006,2
A/WHOOPER_SWAN/MG/244/2005,A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,0.707106781
A/WHOOPER_SWAN/MG/244/2005,A/CHICKEN/INDIA/NIV-33487/2006,1
A/WHOOPER_SWAN/MG/244/2005,A/EGYPT/321-NAMRU3/2007,2
A/WHOOPER_SWAN/MG/244/2005,A/CHICKEN/KOREA/GIMJE/2008,16
A/WHOOPER_SWAN/MG/244/2005,A/ANHUI/1/2005,128
A/WHOOPER_SWAN/MG/244/2005,A/ANHUI/1/2005xPR8_IBCDC_RG-6,22.627417
A/WHOOPER_SWAN/MG/244/2005,A/CHICKEN/MALAYSIA/935/2006,32
A/WHOOPER_SWAN/MG/244/2005,A/JAPANESE/WHITE_EYE/HK/1038/2006,22.627417
A/WHOOPER_SWAN/MG/244/2005,A/GOOSE/GUIYANG/337/2006,90.50966799
A/WHOOPER_SWAN/MG/244/2005,A/CHICKEN/VIETNAM/NCVD-016/2008,90.50966799
A/TURKEY/65-596/2006,A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,1.414213562
A/TURKEY/65-596/2006,A/CHICKEN/INDIA/NIV-33487/2006,1.414213562
A/TURKEY/65-596/2006,A/EGYPT/321-NAMRU3/2007,2
A/TURKEY/65-596/2006,A/CHICKEN/KOREA/GIMJE/2008,5.656854249
A/TURKEY/65-596/2006,A/ANHUI/1/2005,16
A/TURKEY/65-596/2006,A/ANHUI/1/2005xPR8_IBCDC_RG-6,11.3137085
A/TURKEY/65-596/2006,A/CHICKEN/MALAYSIA/935/2006,64
A/TURKEY/65-596/2006,A/JAPANESE/WHITE_EYE/HK/1038/2006,90.50966799
A/TURKEY/65-596/2006,A/GOOSE/GUIYANG/337/2006,45.254834
A/TURKEY/65-596/2006,A/CHICKEN/VIETNAM/NCVD-016/2008,45.254834
